rfid,flight_duration,hive,nosema,gbd
44 B2 92 05 08 00 12 E0,0,19,1,1
44 B2 92 05 08 00 12 E0,8.778,19,1,1
44 B2 92 05 08 00 12 E0,0.529,19,1,1
44 B2 92 05 08 00 12 E0,0.497,19,1,1
5E B2 92 05 08 00 12 E0,0,19,0,1
5E B2 92 05 08 00 12 E0,0.5,19,0,1
5E B2 92 05 08 00 12 E0,5.083,19,0,1
32 B2 92 05 08 00 12 E0,0,19,1,1
32 B2 92 05 08 00 12 E0,1.005,19,1,1
32 B2 92 05 08 00 12 E0,0.5,19,1,1
32 B2 92 05 08 00 12 E0,0.489,19,1,1
32 B2 92 05 08 00 12 E0,3.598,19,1,1
32 B2 92 05 08 00 12 E0,14.416,19,1,1
32 B2 92 05 08 00 12 E0,0.51,19,1,1
32 B2 92 05 08 00 12 E0,0.496,19,1,1
32 B2 92 05 08 00 12 E0,0.497,19,1,1
32 B2 92 05 08 00 12 E0,0.495,19,1,1
32 B2 92 05 08 00 12 E0,0.496,19,1,1
32 B2 92 05 08 00 12 E0,0.498,19,1,1
32 B2 92 05 08 00 12 E0,0.497,19,1,1
32 B2 92 05 08 00 12 E0,0.49,19,1,1
32 B2 92 05 08 00 12 E0,0.495,19,1,1
32 B2 92 05 08 00 12 E0,0.497,19,1,1
32 B2 92 05 08 00 12 E0,0.491,19,1,1
32 B2 92 05 08 00 12 E0,0.489,19,1,1
32 B2 92 05 08 00 12 E0,0.495,19,1,1
32 B2 92 05 08 00 12 E0,0.497,19,1,1
32 B2 92 05 08 00 12 E0,0.495,19,1,1
32 B2 92 05 08 00 12 E0,0.5,19,1,1
32 B2 92 05 08 00 12 E0,0.496,19,1,1
32 B2 92 05 08 00 12 E0,0.489,19,1,1
32 B2 92 05 08 00 12 E0,0.501,19,1,1
32 B2 92 05 08 00 12 E0,0.489,19,1,1
32 B2 92 05 08 00 12 E0,0.483,19,1,1
32 B2 92 05 08 00 12 E0,0.498,19,1,1
32 B2 92 05 08 00 12 E0,2.559,19,1,1
32 B2 92 05 08 00 12 E0,0.501,19,1,1
32 B2 92 05 08 00 12 E0,0.495,19,1,1
32 B2 92 05 08 00 12 E0,0.502,19,1,1
32 B2 92 05 08 00 12 E0,0.495,19,1,1
32 B2 92 05 08 00 12 E0,0.491,19,1,1
32 B2 92 05 08 00 12 E0,0.502,19,1,1
32 B2 92 05 08 00 12 E0,6505.94,19,1,1
32 B2 92 05 08 00 12 E0,0.493,19,1,1
32 B2 92 05 08 00 12 E0,0.478,19,1,1
32 B2 92 05 08 00 12 E0,0.46,19,1,1
52 B2 92 05 08 00 12 E0,0,19,0,1
52 B2 92 05 08 00 12 E0,6.068,19,0,1
52 B2 92 05 08 00 12 E0,0.489,19,0,1
B8 AB 92 05 08 00 12 E0,0,23,0,1
76 A8 92 05 08 00 12 E0,0,24,1,1
76 A8 92 05 08 00 12 E0,7.283,24,1,1
B7 AB 92 05 08 00 12 E0,0,23,1,1
B7 AB 92 05 08 00 12 E0,0.498,23,1,1
B7 AB 92 05 08 00 12 E0,11.508,23,1,1
B7 AB 92 05 08 00 12 E0,0.497,23,1,1
B7 AB 92 05 08 00 12 E0,0.497,23,1,1
B7 AB 92 05 08 00 12 E0,0.495,23,1,1
B7 AB 92 05 08 00 12 E0,0.496,23,1,1
B7 AB 92 05 08 00 12 E0,0.491,23,1,1
B7 AB 92 05 08 00 12 E0,0.497,23,1,1
B7 AB 92 05 08 00 12 E0,0.485,23,1,1
B7 AB 92 05 08 00 12 E0,0.495,23,1,1
20 B2 92 05 08 00 12 E0,0,19,0,1
20 B2 92 05 08 00 12 E0,10.263,19,0,1
20 B2 92 05 08 00 12 E0,0.496,19,0,1
20 B2 92 05 08 00 12 E0,0.491,19,0,1
20 B2 92 05 08 00 12 E0,0.495,19,0,1
20 B2 92 05 08 00 12 E0,0.495,19,0,1
20 B2 92 05 08 00 12 E0,0.498,19,0,1
20 B2 92 05 08 00 12 E0,0.49,19,0,1
7C AB 92 05 08 00 12 E0,0,23,1,1
7C AB 92 05 08 00 12 E0,0.981,23,1,1
7C AB 92 05 08 00 12 E0,0.468,23,1,1
7C AB 92 05 08 00 12 E0,0,23,1,1
7C AB 92 05 08 00 12 E0,0.888,23,1,1
E6 B5 92 05 08 00 12 E0,0,19,1,1
E6 B5 92 05 08 00 12 E0,4.855,19,1,1
E6 B5 92 05 08 00 12 E0,344.492,19,1,1
E6 B5 92 05 08 00 12 E0,1.388,19,1,1
E6 B5 92 05 08 00 12 E0,0.431,19,1,1
E6 B5 92 05 08 00 12 E0,11.08,19,1,1
E6 B5 92 05 08 00 12 E0,0.477,19,1,1
E6 B5 92 05 08 00 12 E0,8.561,19,1,1
E6 B5 92 05 08 00 12 E0,0.472,19,1,1
E6 B5 92 05 08 00 12 E0,18.535,19,1,1
E6 B5 92 05 08 00 12 E0,0,19,1,1
E6 B5 92 05 08 00 12 E0,23.627,19,1,1
E6 B5 92 05 08 00 12 E0,0.432,19,1,1
E6 B5 92 05 08 00 12 E0,0.425,19,1,1
E6 B5 92 05 08 00 12 E0,0.427,19,1,1
E6 B5 92 05 08 00 12 E0,0.42,19,1,1
E6 B5 92 05 08 00 12 E0,356.827,19,1,1
E6 B5 92 05 08 00 12 E0,0.42,19,1,1
E6 B5 92 05 08 00 12 E0,0.456,19,1,1
E6 B5 92 05 08 00 12 E0,0.433,19,1,1
E6 B5 92 05 08 00 12 E0,66.788,19,1,1
E6 B5 92 05 08 00 12 E0,0.432,19,1,1
FA B0 92 05 08 00 12 E0,0,19,1,1
FA B0 92 05 08 00 12 E0,0.445,19,1,1
FA B0 92 05 08 00 12 E0,3.15,19,1,1
FA B0 92 05 08 00 12 E0,0.465,19,1,1
FA B0 92 05 08 00 12 E0,0.441,19,1,1
FA B0 92 05 08 00 12 E0,0.438,19,1,1
FA B0 92 05 08 00 12 E0,0.477,19,1,1
FA B0 92 05 08 00 12 E0,0.417,19,1,1
FA B0 92 05 08 00 12 E0,0.443,19,1,1
FA B0 92 05 08 00 12 E0,0.451,19,1,1
FA B0 92 05 08 00 12 E0,0.445,19,1,1
FA B0 92 05 08 00 12 E0,0.446,19,1,1
FA B0 92 05 08 00 12 E0,0.435,19,1,1
FA B0 92 05 08 00 12 E0,0.504,19,1,1
FA B0 92 05 08 00 12 E0,0.436,19,1,1
FA B0 92 05 08 00 12 E0,0.466,19,1,1
FA B0 92 05 08 00 12 E0,0.441,19,1,1
42 B2 92 05 08 00 12 E0,0,19,0,1
42 B2 92 05 08 00 12 E0,5.173,19,0,1
42 B2 92 05 08 00 12 E0,0.443,19,0,1
64 B4 92 05 08 00 12 E0,0,19,1,1
64 B4 92 05 08 00 12 E0,0.441,19,1,1
64 B4 92 05 08 00 12 E0,0.933,19,1,1
64 B4 92 05 08 00 12 E0,0.433,19,1,1
