rfid,flight_duration,nosema,gbd
44 B2 92 05 08 00 12 E0,0,1,1
44 B2 92 05 08 00 12 E0,8.778,1,1
44 B2 92 05 08 00 12 E0,0.529,1,1
44 B2 92 05 08 00 12 E0,0.497,1,1
5E B2 92 05 08 00 12 E0,0,0,1
5E B2 92 05 08 00 12 E0,0.5,0,1
5E B2 92 05 08 00 12 E0,5.083,0,1
32 B2 92 05 08 00 12 E0,0,1,1
32 B2 92 05 08 00 12 E0,1.005,1,1
32 B2 92 05 08 00 12 E0,0.5,1,1
32 B2 92 05 08 00 12 E0,0.489,1,1
32 B2 92 05 08 00 12 E0,3.598,1,1
32 B2 92 05 08 00 12 E0,14.416,1,1
32 B2 92 05 08 00 12 E0,0.51,1,1
32 B2 92 05 08 00 12 E0,0.496,1,1
32 B2 92 05 08 00 12 E0,0.497,1,1
32 B2 92 05 08 00 12 E0,0.495,1,1
32 B2 92 05 08 00 12 E0,0.496,1,1
32 B2 92 05 08 00 12 E0,0.498,1,1
32 B2 92 05 08 00 12 E0,0.497,1,1
32 B2 92 05 08 00 12 E0,0.49,1,1
32 B2 92 05 08 00 12 E0,0.495,1,1
32 B2 92 05 08 00 12 E0,0.497,1,1
32 B2 92 05 08 00 12 E0,0.491,1,1
32 B2 92 05 08 00 12 E0,0.489,1,1
32 B2 92 05 08 00 12 E0,0.495,1,1
32 B2 92 05 08 00 12 E0,0.497,1,1
32 B2 92 05 08 00 12 E0,0.495,1,1
32 B2 92 05 08 00 12 E0,0.5,1,1
32 B2 92 05 08 00 12 E0,0.496,1,1
32 B2 92 05 08 00 12 E0,0.489,1,1
32 B2 92 05 08 00 12 E0,0.501,1,1
32 B2 92 05 08 00 12 E0,0.489,1,1
32 B2 92 05 08 00 12 E0,0.483,1,1
32 B2 92 05 08 00 12 E0,0.498,1,1
32 B2 92 05 08 00 12 E0,2.559,1,1
32 B2 92 05 08 00 12 E0,0.501,1,1
32 B2 92 05 08 00 12 E0,0.495,1,1
32 B2 92 05 08 00 12 E0,0.502,1,1
32 B2 92 05 08 00 12 E0,0.495,1,1
32 B2 92 05 08 00 12 E0,0.491,1,1
32 B2 92 05 08 00 12 E0,0.502,1,1
32 B2 92 05 08 00 12 E0,6505.94,1,1
32 B2 92 05 08 00 12 E0,0.493,1,1
32 B2 92 05 08 00 12 E0,0.478,1,1
32 B2 92 05 08 00 12 E0,0.46,1,1
52 B2 92 05 08 00 12 E0,0,0,1
52 B2 92 05 08 00 12 E0,6.068,0,1
52 B2 92 05 08 00 12 E0,0.489,0,1
B8 AB 92 05 08 00 12 E0,0,0,1
76 A8 92 05 08 00 12 E0,0,1,1
76 A8 92 05 08 00 12 E0,7.283,1,1
B7 AB 92 05 08 00 12 E0,0,1,1
B7 AB 92 05 08 00 12 E0,0.498,1,1
B7 AB 92 05 08 00 12 E0,11.508,1,1
B7 AB 92 05 08 00 12 E0,0.497,1,1
B7 AB 92 05 08 00 12 E0,0.497,1,1
B7 AB 92 05 08 00 12 E0,0.495,1,1
B7 AB 92 05 08 00 12 E0,0.496,1,1
B7 AB 92 05 08 00 12 E0,0.491,1,1
B7 AB 92 05 08 00 12 E0,0.497,1,1
B7 AB 92 05 08 00 12 E0,0.485,1,1
B7 AB 92 05 08 00 12 E0,0.495,1,1
20 B2 92 05 08 00 12 E0,0,0,1
20 B2 92 05 08 00 12 E0,10.263,0,1
20 B2 92 05 08 00 12 E0,0.496,0,1
20 B2 92 05 08 00 12 E0,0.491,0,1
20 B2 92 05 08 00 12 E0,0.495,0,1
20 B2 92 05 08 00 12 E0,0.495,0,1
20 B2 92 05 08 00 12 E0,0.498,0,1
20 B2 92 05 08 00 12 E0,0.49,0,1
7C AB 92 05 08 00 12 E0,0,1,1
7C AB 92 05 08 00 12 E0,0.981,1,1
7C AB 92 05 08 00 12 E0,0.468,1,1
7C AB 92 05 08 00 12 E0,0,1,1
7C AB 92 05 08 00 12 E0,0.888,1,1
E6 B5 92 05 08 00 12 E0,0,1,1
E6 B5 92 05 08 00 12 E0,4.855,1,1
E6 B5 92 05 08 00 12 E0,344.492,1,1
E6 B5 92 05 08 00 12 E0,1.388,1,1
E6 B5 92 05 08 00 12 E0,0.431,1,1
E6 B5 92 05 08 00 12 E0,11.08,1,1
E6 B5 92 05 08 00 12 E0,0.477,1,1
E6 B5 92 05 08 00 12 E0,8.561,1,1
E6 B5 92 05 08 00 12 E0,0.472,1,1
E6 B5 92 05 08 00 12 E0,18.535,1,1
E6 B5 92 05 08 00 12 E0,0,1,1
E6 B5 92 05 08 00 12 E0,23.627,1,1
E6 B5 92 05 08 00 12 E0,0.432,1,1
E6 B5 92 05 08 00 12 E0,0.425,1,1
E6 B5 92 05 08 00 12 E0,0.427,1,1
E6 B5 92 05 08 00 12 E0,0.42,1,1
E6 B5 92 05 08 00 12 E0,356.827,1,1
E6 B5 92 05 08 00 12 E0,0.42,1,1
E6 B5 92 05 08 00 12 E0,0.456,1,1
E6 B5 92 05 08 00 12 E0,0.433,1,1
E6 B5 92 05 08 00 12 E0,66.788,1,1
E6 B5 92 05 08 00 12 E0,0.432,1,1
FA B0 92 05 08 00 12 E0,0,1,1
FA B0 92 05 08 00 12 E0,0.445,1,1
FA B0 92 05 08 00 12 E0,3.15,1,1
FA B0 92 05 08 00 12 E0,0.465,1,1
FA B0 92 05 08 00 12 E0,0.441,1,1
FA B0 92 05 08 00 12 E0,0.438,1,1
FA B0 92 05 08 00 12 E0,0.477,1,1
FA B0 92 05 08 00 12 E0,0.417,1,1
FA B0 92 05 08 00 12 E0,0.443,1,1
FA B0 92 05 08 00 12 E0,0.451,1,1
FA B0 92 05 08 00 12 E0,0.445,1,1
FA B0 92 05 08 00 12 E0,0.446,1,1
FA B0 92 05 08 00 12 E0,0.435,1,1
FA B0 92 05 08 00 12 E0,0.504,1,1
FA B0 92 05 08 00 12 E0,0.436,1,1
FA B0 92 05 08 00 12 E0,0.466,1,1
FA B0 92 05 08 00 12 E0,0.441,1,1
42 B2 92 05 08 00 12 E0,0,0,1
42 B2 92 05 08 00 12 E0,5.173,0,1
42 B2 92 05 08 00 12 E0,0.443,0,1
64 B4 92 05 08 00 12 E0,0,1,1
64 B4 92 05 08 00 12 E0,0.441,1,1
64 B4 92 05 08 00 12 E0,0.933,1,1
64 B4 92 05 08 00 12 E0,0.433,1,1
64 B4 92 05 08 00 12 E0,0.479,1,1
64 B4 92 05 08 00 12 E0,0.434,1,1
64 B4 92 05 08 00 12 E0,0.483,1,1
64 B4 92 05 08 00 12 E0,0.436,1,1
64 B4 92 05 08 00 12 E0,0.455,1,1
64 B4 92 05 08 00 12 E0,0.441,1,1
64 B4 92 05 08 00 12 E0,0.476,1,1
64 B4 92 05 08 00 12 E0,0.439,1,1
64 B4 92 05 08 00 12 E0,4.783,1,1
64 B4 92 05 08 00 12 E0,2.372,1,1
64 B4 92 05 08 00 12 E0,0.452,1,1
64 B4 92 05 08 00 12 E0,6.489,1,1
64 B4 92 05 08 00 12 E0,0.425,1,1
64 B4 92 05 08 00 12 E0,0.44,1,1
64 B4 92 05 08 00 12 E0,4896.86,1,1
64 B4 92 05 08 00 12 E0,0.459,1,1
64 B4 92 05 08 00 12 E0,11.773,1,1
64 B4 92 05 08 00 12 E0,0.447,1,1
64 B4 92 05 08 00 12 E0,0.427,1,1
64 B4 92 05 08 00 12 E0,0.409,1,1
64 B4 92 05 08 00 12 E0,0.431,1,1
64 B4 92 05 08 00 12 E0,0.415,1,1
64 B4 92 05 08 00 12 E0,0.425,1,1
64 B4 92 05 08 00 12 E0,0.431,1,1
64 B4 92 05 08 00 12 E0,0.441,1,1
64 B4 92 05 08 00 12 E0,7.227,1,1
64 B4 92 05 08 00 12 E0,0.438,1,1
64 B4 92 05 08 00 12 E0,0.422,1,1
64 B4 92 05 08 00 12 E0,43.523,1,1
64 B4 92 05 08 00 12 E0,0.42,1,1
64 B4 92 05 08 00 12 E0,0.448,1,1
64 B4 92 05 08 00 12 E0,0.428,1,1
64 B4 92 05 08 00 12 E0,0.425,1,1
64 B4 92 05 08 00 12 E0,1.342,1,1
64 B4 92 05 08 00 12 E0,0.438,1,1
64 B4 92 05 08 00 12 E0,0,1,1
64 B4 92 05 08 00 12 E0,0.433,1,1
64 B4 92 05 08 00 12 E0,0.432,1,1
64 B4 92 05 08 00 12 E0,0.434,1,1
64 B4 92 05 08 00 12 E0,0.431,1,1
64 B4 92 05 08 00 12 E0,0.432,1,1
64 B4 92 05 08 00 12 E0,0.434,1,1
64 B4 92 05 08 00 12 E0,0.431,1,1
64 B4 92 05 08 00 12 E0,0.431,1,1
64 B4 92 05 08 00 12 E0,0.421,1,1
64 B4 92 05 08 00 12 E0,0.432,1,1
64 B4 92 05 08 00 12 E0,0.433,1,1
64 B4 92 05 08 00 12 E0,0.427,1,1
64 B4 92 05 08 00 12 E0,0.425,1,1
64 B4 92 05 08 00 12 E0,0.419,1,1
64 B4 92 05 08 00 12 E0,0.427,1,1
64 B4 92 05 08 00 12 E0,0.432,1,1
64 B4 92 05 08 00 12 E0,0.432,1,1
64 B4 92 05 08 00 12 E0,0.434,1,1
64 B4 92 05 08 00 12 E0,0.425,1,1
64 B4 92 05 08 00 12 E0,0.431,1,1
64 B4 92 05 08 00 12 E0,0.434,1,1
64 B4 92 05 08 00 12 E0,0.432,1,1
64 B4 92 05 08 00 12 E0,0.419,1,1
64 B4 92 05 08 00 12 E0,0.421,1,1
64 B4 92 05 08 00 12 E0,0.45,1,1
64 B4 92 05 08 00 12 E0,0.431,1,1
64 B4 92 05 08 00 12 E0,11625.5,1,1
64 B4 92 05 08 00 12 E0,0.432,1,1
64 B4 92 05 08 00 12 E0,0.431,1,1
64 B4 92 05 08 00 12 E0,13.356,1,1
64 B4 92 05 08 00 12 E0,0.431,1,1
64 B4 92 05 08 00 12 E0,0.433,1,1
64 B4 92 05 08 00 12 E0,0.451,1,1
64 B4 92 05 08 00 12 E0,507.658,1,1
64 B4 92 05 08 00 12 E0,0.422,1,1
64 B4 92 05 08 00 12 E0,0.444,1,1
64 B4 92 05 08 00 12 E0,0.425,1,1
64 B4 92 05 08 00 12 E0,0.427,1,1
64 B4 92 05 08 00 12 E0,0.426,1,1
64 B4 92 05 08 00 12 E0,0.433,1,1
64 B4 92 05 08 00 12 E0,0.434,1,1
64 B4 92 05 08 00 12 E0,0.431,1,1
64 B4 92 05 08 00 12 E0,0.426,1,1
